Product_id;Name;is_person_transport_title;is_junior;is_senior
 id-prod-31_437; Passe Lisboa Viva - Normal CIMLT;True;False;False
 id-prod-31_438; Passe Lisboa Viva - Normal CIMLT;True;False;False
 id-prod-31_600; Passe Lisboa Viva - Normal CIMLT;True;False;False
 id-prod-30_850; Passe Lisboa Viva - Normal CIMLT;True;False;False
 id-prod-31_6116; Passe Lisboa Viva - 4_18/Sub23 B CIMLT;True;True;False
 id-prod-31_6117; Passe Lisboa Viva - 4_18/Sub23 B CIMLT;True;True;False
 id-prod-31_6118; Passe Lisboa Viva - 4_18/Sub23 B CIMLT;True;True;False
 id-prod-31_6100; Passe Lisboa Viva - 4_18/Sub23 B CIMLT;True;True;False
 id-prod-30_6121; Passe Lisboa Viva - 4_18/Sub23 B CIMLT;True;True;False
 id-prod-31_7616; Passe Lisboa Viva - 4_18/Sub23 A CIMLT;True;True;False
 id-prod-31_7617; Passe Lisboa Viva - 4_18/Sub23 A CIMLT;True;True;False
 id-prod-31_7618; Passe Lisboa Viva - 4_18/Sub23 A CIMLT;True;True;False
 id-prod-31_7600; Passe Lisboa Viva - 4_18/Sub23 A CIMLT;True;True;False
 id-prod-30_8990; Passe Lisboa Viva - 4_18/Sub23 A CIMLT;True;True;False
 id-prod-31_11100; P.LXBT IR CMTL Circula PTB;True;False;False
 id-prod-31_11101; P.LXBT IR CMTL Circula PTB;True;False;False
 id-prod-31_11102; P.LXBT IR CMTL Circula PTB;True;False;False
 id-prod-31_11103; P.LXBT IR CMTL Circula PTB;True;False;False
 id-prod-31_11104; P.LXBT IR CMTL Circula PTB;True;False;False
 id-prod-31_11110; P.LXBT IR CMTL Circula PTA;True;False;False
 id-prod-31_11111; P.LXBT IR CMTL Circula PTA;True;False;False
 id-prod-31_11112; P.LXBT IR CMTL Circula PTA;True;False;False
 id-prod-31_11113; P.LXBT IR CMTL Circula PTA;True;False;False
 id-prod-31_11114; P.LXBT IR CMTL Circula PTA;True;False;False
 id-prod-ca-valid-perfil; Validação por perfil CA;True;False;False
 id-lisboacard-24h-adulto; LXCard 24h;True;False;False
 id-lisboacard-48h-adulto; LXCard 48h;True;False;False
 id-lisboacard-72h-adulto; LXCard 72h;True;False;False
 id-lisboacard-24h-crianca; LXCard 24h criança;True;True;False
 id-lisboacard-48h-crianca; LXCard 48h criança;True;True;False
 id-lisboacard-72h-crianca; LXCard 72h criança;True;True;False
 id-prod-ml-access-period; Guia de Acesso Período;True;False;False
 id-prod-ml-access-daily; Guia de Acesso Diária;True;False;False
 id-prod-ml-autoridade; Lista Branca ML - Autoridade;True;False;False
 id-prod-ml-entidade-mai-gnr; Lista Branca ML - Entidade-Pagante-MAI-GNR;True;False;False
 id-prod-ml-servicos; Lista Branca ML - Serviços;True;False;False
 id-prod-ml-vip-aml; Lista Branca ML - VIP AML;True;False;False
 id-prod-ml-trabalhador-carris; Lista Branca ML - Trabalhador Carris;True;False;False
 id-prod-ml-trabalhador-ml; Lista Branca ML - Trabalhador ML;True;False;False
 id-prod-ml-conj-trabalhador-ml; Lista Branca ML - Conjuge Trabalhador ML;True;False;False
 id-prod-ml-filho-trabalhador-ml; Lista Branca ML - Filho Trabalhador ML;True;False;False
 id-prod-ml-trabalhador-ref-ml; Lista Branca ML - Trabalhador Reformado ML;True;False;False
 id-prod-ml-pens-conj-trab-ml; Lista Branca ML - Pensionista Conjuge Trab. ML;True;False;False
 id-prod-ml-oper-mavt; Lista Branca ML - Operação MAVT;True;False;False
 id-prod-ml-manut-mavt; Lista Branca ML - Manutenção MAVT;True;False;False
 id-prod-ml-conj-trab-ref-ml; Lista Branca ML - Conjuge Trab.Refor.ML;True;False;False
 id-prod-ml-filho-trab-ref-ml; Lista Branca ML - Filho Trab.Refor.ML;True;False;False
 id-prod-ml-admin-mavt; Lista Branca ML - Administrador MAVT;True;False;False
 id-prod-ml-pens-filho-func-ml; Lista Branca ML - Pensionista Filho Trab. ML;True;False;False
 id-prod-ml-fam-trab-ferconsult; Lista Branca ML - Familiar Trabalhador Ferconsult;True;False;False
 id-prod-ml-trab-ml-canal-largo; Lista Branca ML - Trabalhador ML Canal Largo;True;False;False
 id-prod-ml-trab-tt-ml; Lista Branca ML - Trabalhador Transtejo;True;False;False
 id-prod-ml-trab-sl-ml; Lista Branca ML - Trabalhador Soflusa;True;False;False
 id-prod-ml-emp-cm-a3; Lista Branca ML - Emp. CM Area 3;True;False;False
 id-prod-ml-emp-cm-a4; Lista Branca ML - Emp. CM Area 4;True;False;False
 id-prod-ml-emp-cm-a1; Lista Branca ML - Emp. CM Area 1;True;False;False
 id-prod-ml-emp-cm-a2; Lista Branca ML - Emp. CM Area 2;True;False;False
 id-prod-ml-bilhete-coima; Bilhete Coima;False;False;False
 id-prod-ml-emel-ca-ml; Estacionamento Emel CA/ML;True;False;False
 id-prod-ml-emparque-ca-ml; Estacionamento Emparque CA/ML;True;False;False
 id-prod-ml-emparque-ml-30d; Estacionamento Emparque ML 30 Du;True;False;False
 id-prod-ttsl-passe-30d-ca-cs; Cacilhas-30 Dias;True;False;False
 id-prod-ttsl-passe-30d-3id-ca-cs; Cacilhas-3ª Idade;True;False;True
 id-prod-ttsl-passe-30d-tr-pb-bl; Trafaria-30 Dias;True;False;False
 id-prod-ttsl-passe-30d-3id-tr-pb-bl; Trafaria-3ª Idade;True;False;True
 id-prod-ttsl-passe-30d-sei-cs; Seixal-30 Dias;True;False;False
 id-prod-ttsl-passe-30d-mt-cs; Montijo-30 Dias;True;False;False
 id-prod-ttsl-bilh-sim-mt-cs; Bilhete Simples (Mt. - C.Sodré);True;False;False
 id-prod-sl-bilh-sim-bar-tdp; Bilhete Simples (BR - TP);True;False;False
 id-prod-ttsl-bilh-sim-mt-cs-meio; 1/2 Bilhete (Mt. - C.Sodré);True;True;False
 id-prod-sl-bilh-sim-bar-tdp-meio; 1/2 Bilhete (BR - TP);True;True;False
 id-prod-ttsl-bilh-sim-mt-cs-anim; Animal de Companhia (Mt. - C.Sodré);False;False;False
